PolicyNumber,EffectiveDate,ExpirationDate,Term,InsuredCustomerNumber,InsuredCompanyName,WrittenPremiumAmount,LineOfBusiness,LineOfBusinessCode,NewOrRenewal,InsuredIndustry,InsuredSector,DistributionChannel,InsuredEIN,InsuredCity,InsuredStateCode,InsuredContactCellPhone,InsuredContactEmail,InsuredNumberOfEmployees,InsuredEmployeeTier,InsuredAnnualRevenue,ProducerProfitCenterID,Territory,ProducerCode,AgentName,GenerationDate
5961458,2022-06-17,2023-06-17,12,5782235,Engage Next-Generation Communities,155600.00,Worker's Comp,WC,New,Home Improvement,Construction,Agent Email Not-ACORD,94-5795364,Montpelier,VT,955-270-3525,darlene72@jones-raymond.com,389,2,154599881,49345,Northeast,47201,Robertson Ryan & Associates,2023-06-01 19:49:38.000+0000
1270129,2022-06-20,2023-06-20,12,6021814,Re-Contextualize Next-Generation Portals,34100.00,Commercial Auto,AUTO,New,Alcoholic Beverages,Consumer Non Cyclical,Agent Email ACORD,95-8996692,Dayton,OH,797-801-8906,mary17@robinson.com,341,2,1309297462,65294,Central,98527,ALKEME,2023-06-01 19:49:38.000+0000
5255529,2022-06-24,2023-06-24,12,9926676,Monetize World-Class Roi,35750.00,Worker's Comp,WC,New,Office Supplies,Consumer Non Cyclical,Agent Portal,94-8837171,Detroit,MI,040-711-9884,ann71@yahoo.com,143,2,46886697,25859,Central,49514,Premier Group Insurance Inc.,2023-06-01 19:49:38.000+0000
9496779,2022-06-02,2023-06-02,12,1185156,Harness User-Centric Systems,1277100.00,Commercial Auto,AUTO,New,Special Transportation Services,Transportation,Direct Voice,93-9787971,Providence,RI,708-530-5535,alexander85@young-morris.com,946,3,3204366880,69393,Northeast,94997,Van Buren Bay Insurance Co.,2023-06-01 19:49:38.000+0000
5434339,2022-06-29,2023-06-29,12,8923015,Whiteboard Value-Added Infrastructures,70500.00,Worker's Comp,WC,Renewal,Investment Services,Financial,Agent Email ACORD,99-5880561,Warren,MI,953-702-2765,uwilliams@nunez-miller.com,282,2,331858446,27719,Central,64916,Houchens Insurance Group Inc.,2023-06-01 19:49:38.000+0000
3529138,2022-06-17,2023-06-17,12,9770215,Transition Clicks-And-Mortar Applications,45600.00,Commercial Auto,AUTO,New,Grocery Stores,Retail,Direct Voice,98-5565288,San Jose,CA,064-288-8585,candacewilliams@mendoza.com,190,2,135339280,69393,West,94997,Van Buren Bay Insurance Co.,2023-06-01 19:49:38.000+0000
4701543,2022-06-17,2023-06-17,12,9835111,Disintermediate Proactive Channels,42600.00,Commercial Auto,AUTO,Renewal,Specialty Retail,Retail,Agent Email Not-ACORD,99-5314989,Fargo,ND,726-192-7608,pgoodman@gmail.com,213,2,122519304,83896,Central,64985,Shepherd Insurance,2023-06-01 19:49:38.000+0000
3642147,2022-06-10,2023-06-10,12,4057975,Empower Proactive Eyeballs,113800.00,Commercial Auto,AUTO,Renewal,Consumer Financial Services,Financial,Agent Email Not-ACORD,94-2673780,Kansas City,MO,462-756-0614,cwilson@robinson.com,569,3,551202249,89148,Central,74785,Professional Insurance Associates,2023-06-01 19:49:38.000+0000
7493280,2022-06-23,2023-06-23,12,9926676,Monetize World-Class Roi,14300.00,Commercial Auto,AUTO,Renewal,Office Supplies,Consumer Non Cyclical,Agent Email Not-ACORD,94-8837171,Detroit,MI,040-711-9884,ann71@yahoo.com,143,2,46886697,83896,Central,64985,Shepherd Insurance,2023-06-01 19:49:38.000+0000
246600,2022-06-23,2023-06-23,12,6252598,Integrate One-To-One Niches,26730.00,Commercial Auto,AUTO,New,Furniture & Fixtures,Retail,Agent Email ACORD,91-3466076,Charleston,SC,538-158-2481,williamhawkins@hotmail.com,81,1,27390717,27719,Southeast,64916,Houchens Insurance Group Inc.,2023-06-01 19:49:38.000+0000
6703537,2022-06-30,2023-06-30,12,5058576,Productize Compelling Convergence,151640.00,Worker's Comp,WC,Renewal,Special Transportation Services,Transportation,Agent Email Not-ACORD,94-9953152,Richmond,VA,539-957-4709,josephjames@graham.com,446,2,1510726880,89148,Southeast,74785,Professional Insurance Associates,2023-06-01 19:49:38.000+0000
3584775,2022-06-27,2023-06-27,12,3088476,Exploit Wireless Networks,235200.00,Commercial Auto,AUTO,New,Professional Services,Services,Agent Email Not-ACORD,94-1300126,Durham,NC,113-094-4455,lclark@hill.com,294,2,130843230,83896,Southeast,64985,Shepherd Insurance,2023-06-01 19:49:38.000+0000
9999959,2022-06-28,2023-06-28,12,5582686,Deliver Robust Roi,79680.00,Commercial Auto,AUTO,New,Grocery Stores,Retail,Agent Email ACORD,95-8332702,Billings,MT,576-735-5661,ibradshaw@adams-reyes.com,332,2,236487584,25859,West,49514,Premier Group Insurance Inc.,2023-06-01 19:49:38.000+0000
2647820,2022-06-18,2023-06-18,12,6302803,Engineer 24/7 Supply-Chains,22080.00,Worker's Comp,WC,New,Insurance Brokerage,Financial,Agent Email Not-ACORD,94-7672137,Macon,GA,682-934-1966,jessica21@yahoo.com,92,1,37302412,34312,Southeast,10463,Towne Insurance,2023-06-01 19:49:38.000+0000
5813225,2022-06-22,2023-06-22,12,6968805,Transform Leading-Edge Paradigms,249600.00,Worker's Comp,WC,Renewal,Pharmacy Services & Retail Drugstore,Retail,Agent Portal,99-6017874,New Haven,CT,543-902-7717,adamsjesus@ramos.com,320,2,711723520,65294,Northeast,98527,ALKEME,2023-06-01 19:49:38.000+0000
9228583,2022-06-07,2023-06-07,12,8600440,Morph Synergistic E-Markets,11700.00,Worker's Comp,WC,Renewal,Pharmacy Services & Retail Drugstore,Retail,Direct Voice,93-7772152,Manchester,NH,734-948-2338,duncanaaron@hotmail.com,15,1,33362040,69393,Northeast,94997,Van Buren Bay Insurance Co.,2023-06-01 19:49:38.000+0000
4538030,2022-06-03,2023-06-03,12,9169472,Enable Magnetic Web Services,7740.00,Worker's Comp,WC,Renewal,Grocery Stores,Retail,Direct Voice,94-8457317,Little Rock,AR,868-406-7271,santiagodebbie@gonzalez-fisher.info,43,1,30629416,69393,Central,94997,Van Buren Bay Insurance Co.,2023-06-01 19:49:38.000+0000
5788324,2022-06-13,2023-06-13,12,7400803,Facilitate Cutting-Edge E-Commerce,87600.00,Commercial Auto,AUTO,New,Office Supplies,Consumer Non Cyclical,Agent Portal,99-0833688,Nashville,TN,984-034-7605,desireehumphrey@valdez-gonzalez.com,876,3,287222004,27719,Central,64916,Houchens Insurance Group Inc.,2023-06-01 19:49:38.000+0000
970812,2022-06-06,2023-06-06,12,2117345,Brand One-To-One Communities,83460.00,Worker's Comp,WC,Renewal,Consumer Financial Services,Financial,Agent Email ACORD,90-3360152,Sioux Falls,SD,087-584-2879,jennifer60@williams.com,321,2,310959441,65294,Central,98527,ALKEME,2023-06-01 19:49:38.000+0000
8620475,2022-06-02,2023-06-02,12,1914588,Morph Plug-And-Play Technologies,199920.00,Commercial Auto,AUTO,Renewal,Grocery Stores,Retail,Agent Email Not-ACORD,98-1074103,Rochester,MN,197-132-6851,aguilarpatricia@smith-joyce.info,833,3,593355896,65294,Central,98527,ALKEME,2023-06-01 19:49:38.000+0000
4569335,2022-06-27,2023-06-27,12,3981709,Utilize Mission-Critical Systems,207480.00,Worker's Comp,WC,Renewal,Professional Services,Services,Agent Email ACORD,99-0006934,Billings,MT,027-721-0188,ryanmorse@church.org,266,2,118381970,31793,West,43449,Sterling Seacrest Pritchard,2023-06-01 19:49:38.000+0000
1010074,2022-06-02,2023-06-02,12,5319750,Embrace Robust E-Business,253170.00,Worker's Comp,WC,New,Specialty Retail,Retail,Agent Portal,95-2065967,Milwaukee,WI,602-702-1927,powellannette@yahoo.com,873,3,502156584,49345,Central,47201,Robertson Ryan & Associates,2023-06-01 19:49:38.000+0000
5082859,2022-06-25,2023-06-25,12,8240737,Innovate Strategic Solutions,187050.00,Worker's Comp,WC,New,Forestry & Wood Products,Construction,Direct Voice,90-5624682,Wichita,KS,141-336-8536,xallen@yahoo.com,645,3,619289010,69393,Central,94997,Van Buren Bay Insurance Co.,2023-06-01 19:49:38.000+0000
7329625,2022-06-13,2023-06-13,12,8829502,Integrate Transparent Methodologies,57600.00,Worker's Comp,WC,Renewal,Security & Armored Car Services,Transportation,Agent Portal,99-9856488,Columbia,MO,022-258-6685,samuel07@gmail.com,90,1,14447430,16296,Central,33375,Lawley LLC,2023-06-01 19:49:38.000+0000
531857,2022-06-03,2023-06-03,12,8516658,Architect 24/365 E-Markets,8100.00,Commercial Auto,AUTO,New,Special Transportation Services,Transportation,Agent Email ACORD,99-2094545,Columbia,SC,787-921-4488,carsonross@taylor.com,6,1,20323680,34312,Southeast,10463,Towne Insurance,2023-06-01 19:49:38.000+0000
8041417,2022-06-15,2023-06-15,12,9792431,Iterate Integrated Vortals,2640.00,Commercial Auto,AUTO,New,Restaurants,Services,Agent Email ACORD,92-2470867,Little Rock,AR,446-896-0226,william13@gmail.com,12,1,2152320,31793,Central,43449,Sterling Seacrest Pritchard,2023-06-01 19:49:38.000+0000
7179620,2022-06-03,2023-06-03,12,7469569,Monetize Cutting-Edge Partnerships,6300.00,Commercial Auto,AUTO,Renewal,Software & Programming,Services,Direct Voice,92-5949283,Providence,RI,020-199-8336,davidgordon@yahoo.com,63,1,27121122,69393,Northeast,94997,Van Buren Bay Insurance Co.,2023-06-01 19:49:38.000+0000
7545429,2022-06-04,2023-06-04,12,7951595,Implement B2B Content,98400.00,Commercial Auto,AUTO,New,Grocery Stores,Retail,Direct Voice,94-4525543,Manchester,NH,574-978-4599,kimberly48@gmail.com,410,2,292047920,69393,Northeast,94997,Van Buren Bay Insurance Co.,2023-06-01 19:49:38.000+0000
7033169,2022-06-21,2023-06-21,12,9233183,Exploit B2C Metrics,3300.00,Commercial Auto,AUTO,Renewal,Restaurants,Services,Direct Voice,98-6207116,Cheyenne,WY,429-170-6504,anthonylarson@ramos.net,15,1,2690400,69393,West,94997,Van Buren Bay Insurance Co.,2023-06-01 19:49:38.000+0000
7985221,2022-06-21,2023-06-21,12,5445547,Evolve Dot-Com Interfaces,540000.00,Commercial Auto,AUTO,New,Professional Services,Services,Agent Email Not-ACORD,98-8478846,Peoria,IL,335-551-8014,lfarrell@gmail.com,675,3,300405375,65294,Central,98527,ALKEME,2023-06-01 19:49:38.000+0000
5658601,2022-06-02,2023-06-02,12,9849641,Whiteboard 24/365 Solutions,102240.00,Commercial Auto,AUTO,New,Grocery Stores,Retail,Agent Email Not-ACORD,99-7848993,Sandy Springs,GA,760-795-6618,melissa18@gmail.com,426,2,303444912,16296,Southeast,33375,Lawley LLC,2023-06-01 19:49:38.000+0000
6383065,2022-06-07,2023-06-07,12,2718108,Whiteboard Intuitive Solutions,35100.00,Commercial Auto,AUTO,Renewal,Personal & Household Products,Consumer Non Cyclical,Direct Voice,99-7847926,Kansas City,KS,473-383-1951,wjohnson@hotmail.com,351,2,187876611,69393,Central,94997,Van Buren Bay Insurance Co.,2023-06-01 19:49:38.000+0000
2307969,2022-06-25,2023-06-25,12,5333843,Monetize Integrated Convergence,129600.00,Commercial Auto,AUTO,New,Transport & Logistics,Transportation,Agent Portal,99-4883108,Cedar Rapids,IA,912-759-5168,richard63@haas.info,80,1,23283440,34312,Central,10463,Towne Insurance,2023-06-01 19:49:38.000+0000
3694497,2022-06-29,2023-06-29,12,3735132,Maximize Enterprise Models,299650.00,Commercial Auto,AUTO,Renewal,Environmental Services,Services,Agent Portal,94-4756802,Sioux Falls,SD,464-202-9264,jenniferturner@lara.org,461,2,185738283,49345,Central,47201,Robertson Ryan & Associates,2023-06-01 19:49:38.000+0000
5986523,2022-06-06,2023-06-06,12,2423343,Enable Distributed Deliverables,14200.00,Commercial Auto,AUTO,Renewal,Insurance Brokerage,Financial,Agent Email Not-ACORD,99-7006561,North Charleston,SC,612-593-9688,angelamccoy@gmail.com,142,2,57575462,49345,Southeast,47201,Robertson Ryan & Associates,2023-06-01 19:49:38.000+0000
7317666,2022-06-22,2023-06-22,12,2185490,Innovate Value-Added Eyeballs,9500.00,Worker's Comp,WC,Renewal,Alcoholic Beverages,Consumer Non Cyclical,Agent Email Not-ACORD,95-2562017,Greeley,CO,142-726-5371,jhenderson@alvarado-riley.org,25,1,95989550,25859,West,49514,Premier Group Insurance Inc.,2023-06-01 19:49:38.000+0000
7856400,2022-06-14,2023-06-14,12,5618332,Deploy Extensible Systems,157990.00,Worker's Comp,WC,Renewal,Agricultural Production,Consumer Non Cyclical,Agent Portal,91-2689405,Alexandria,VA,802-108-8937,rrubio@cortez-durham.net,259,2,317359952,27719,Southeast,64916,Houchens Insurance Group Inc.,2023-06-01 19:49:38.000+0000
2817194,2022-06-11,2023-06-11,12,4076210,Seize Enterprise Methodologies,1194750.00,Commercial Auto,AUTO,Renewal,Special Transportation Services,Transportation,Direct Voice,93-3846976,Chicago,IL,732-783-0393,wilsonsarah@gmail.com,885,3,2997742800,69393,Central,94997,Van Buren Bay Insurance Co.,2023-06-01 19:49:38.000+0000
4487185,2022-06-24,2023-06-24,12,7302348,Cultivate Robust Content,20800.00,Commercial Auto,AUTO,New,Personal Services,Services,Direct Portal,95-8823951,Charleston,WV,227-069-2963,robinsonclayton@yahoo.com,26,1,41655822,64599,Southeast,48920,VBBI Online Insurance LLC.,2023-06-01 19:49:38.000+0000
9768226,2022-06-14,2023-06-14,12,1964865,Visualize Enterprise Vortals,130540.00,Worker's Comp,WC,New,Agricultural Production,Consumer Non Cyclical,Agent Portal,90-1140036,Dover,DE,320-149-4227,briansuarez@gmail.com,214,2,262220192,65294,Northeast,98527,ALKEME,2023-06-01 19:49:38.000+0000
914365,2022-06-19,2023-06-19,12,4811064,Scale Synergistic Supply-Chains,398800.00,Worker's Comp,WC,Renewal,Personal & Household Products,Consumer Non Cyclical,Agent Portal,98-7184112,Louisville,KY,335-717-6606,pattersonmartha@miller.info,997,3,533655217,16296,Central,33375,Lawley LLC,2023-06-01 19:49:38.000+0000
8577682,2022-06-22,2023-06-22,12,5174726,Incubate Efficient Architectures,63220.00,Worker's Comp,WC,Renewal,"Internet, Mail Order & Online Shops",Retail,Agent Portal,94-1185558,Louisville,KY,214-450-5070,obeard@hotmail.com,109,2,63675402,31793,Central,43449,Sterling Seacrest Pritchard,2023-06-01 19:49:38.000+0000
410584,2022-06-22,2023-06-22,12,7473881,Cultivate Robust Vortals,47850.00,Worker's Comp,WC,Renewal,Wholesale,Retail,Agent Portal,98-0441985,Waterbury,CT,836-329-1766,angelawood@dominguez.com,145,2,137604710,65294,Northeast,98527,ALKEME,2023-06-01 19:49:38.000+0000
5910753,2022-06-10,2023-06-10,12,1015489,Reinvent Innovative E-Business,182600.00,Commercial Auto,AUTO,New,Pharmacy Services & Retail Drugstore,Retail,Agent Portal,92-3341044,Jackson,MS,668-965-7703,woodardtyler@yahoo.com,830,3,1846032880,65294,Central,98527,ALKEME,2023-06-01 19:49:38.000+0000
2674046,2022-06-27,2023-06-27,12,6341262,Enhance Robust Paradigms,655200.00,Commercial Auto,AUTO,New,Real Estate Operations,Services,Agent Email ACORD,93-2552356,Atlanta,GA,637-324-4729,davidjones@yahoo.com,819,3,1182827646,49345,Southeast,47201,Robertson Ryan & Associates,2023-06-01 19:49:38.000+0000
9388129,2022-06-22,2023-06-22,12,1567156,Mesh Front-End Niches,98600.00,Commercial Auto,AUTO,Renewal,Technology Retail,Retail,Agent Email Not-ACORD,91-7880946,Detroit,MI,978-669-0460,abigailaguilar@gallegos.com,986,3,696918604,89148,Central,74785,Professional Insurance Associates,2023-06-01 19:49:38.000+0000
7714592,2022-06-06,2023-06-06,12,6129890,Engineer Turn-Key Info-Mediaries,297840.00,Worker's Comp,WC,New,Special Transportation Services,Transportation,Agent Email ACORD,92-3964172,Broken Arrow,OK,971-356-6699,mark76@cantu-wong.biz,876,3,2967257280,16296,Central,33375,Lawley LLC,2023-06-01 19:49:38.000+0000
7601540,2022-06-13,2023-06-13,12,6851288,Architect Granular Systems,393660.00,Commercial Auto,AUTO,Renewal,Transport & Logistics,Transportation,Agent Email Not-ACORD,92-7212076,Bellevue,WA,592-935-3801,millersamuel@moore.com,243,2,70723449,65294,West,98527,ALKEME,2023-06-01 19:49:38.000+0000
8903525,2022-06-03,2023-06-03,12,6854111,Iterate Cross-Platform Technologies,80600.00,Commercial Auto,AUTO,Renewal,Automotive Aftermarket,Retail,Agent Email Not-ACORD,99-1235147,Grand Rapids,MI,601-435-6335,robertsjuan@gmail.com,403,2,313717768,83896,Central,64985,Shepherd Insurance,2023-06-01 19:49:38.000+0000
2528309,2022-06-26,2023-06-26,12,5826632,Orchestrate Dynamic Deliverables,53600.00,Commercial Auto,AUTO,Renewal,Personal Services,Services,Direct Voice,95-2914896,Newport News,VA,998-519-8219,rebecca06@yahoo.com,67,1,107343849,69393,Southeast,94997,Van Buren Bay Insurance Co.,2023-06-01 19:49:38.000+0000
376983,2022-06-07,2023-06-07,12,4448675,Target Ubiquitous E-Business,124800.00,Commercial Auto,AUTO,Renewal,Personal Services,Services,Agent Email ACORD,90-0934393,Fargo,ND,877-796-8810,bonillaleslie@hotmail.com,156,2,249934932,89148,Central,74785,Professional Insurance Associates,2023-06-01 19:49:38.000+0000
5647635,2022-06-26,2023-06-26,12,6681377,Re-Intermediate Intuitive Web-Readiness,49200.00,Commercial Auto,AUTO,Renewal,Office Supplies,Consumer Non Cyclical,Agent Portal,98-1710241,Lakeland,FL,809-135-3494,michelle85@yahoo.com,492,2,161316468,49345,Southeast,47201,Robertson Ryan & Associates,2023-06-01 19:49:38.000+0000
1534730,2022-06-09,2023-06-09,12,2875474,Utilize Wireless Vortals,35600.00,Worker's Comp,WC,Renewal,Environmental Services,Services,Agent Email Not-ACORD,98-4182773,Honolulu,HI,018-122-6231,rdominguez@cook-porter.com,89,1,35858367,27719,West,64916,Houchens Insurance Group Inc.,2023-06-01 19:49:38.000+0000
7437819,2022-06-10,2023-06-10,12,9233260,Matrix Synergistic E-Business,22800.00,Worker's Comp,WC,Renewal,Alcoholic Beverages,Consumer Non Cyclical,Agent Email Not-ACORD,92-8331989,San Jose,CA,870-584-3373,sophia87@weiss.com,60,1,230374920,34312,West,10463,Towne Insurance,2023-06-01 19:49:38.000+0000
390791,2022-06-13,2023-06-13,12,8516658,Architect 24/365 E-Markets,2040.00,Worker's Comp,WC,Renewal,Special Transportation Services,Transportation,Agent Email Not-ACORD,99-2094545,Columbia,SC,787-921-4488,carsonross@taylor.com,6,1,20323680,34312,Southeast,10463,Towne Insurance,2023-06-01 19:49:38.000+0000
8379720,2022-06-04,2023-06-04,12,9958371,Incentivize Strategic Mindshare,213300.00,Commercial Auto,AUTO,New,Special Transportation Services,Transportation,Agent Portal,93-0409623,Houston,TX,445-796-8042,charlottewhite@gmail.com,158,2,535190240,25859,Central,49514,Premier Group Insurance Inc.,2023-06-01 19:49:38.000+0000
6844853,2022-06-10,2023-06-10,12,6808446,Reinvent One-To-One Models,71440.00,Worker's Comp,WC,Renewal,Regional Banks,Financial,Agent Email ACORD,92-6534213,Meridian,ID,655-138-4898,matthewdavis@hughes-hanson.com,376,2,195885848,89148,West,74785,Professional Insurance Associates,2023-06-01 19:49:38.000+0000
5504112,2022-06-20,2023-06-20,12,3976550,Re-Contextualize Best-Of-Breed E-Tailers,333200.00,Worker's Comp,WC,New,Advertising,Services,Direct Portal,98-7639560,Billings,MT,743-944-7833,usilva@thomas.com,476,2,148489628,64599,West,48920,VBBI Online Insurance LLC.,2023-06-01 19:49:38.000+0000
191480,2022-06-20,2023-06-20,12,4773725,Whiteboard Frictionless Partnerships,94000.00,Commercial Auto,AUTO,New,Personal & Household Products,Consumer Non Cyclical,Agent Portal,92-8246175,Phoenix,AZ,449-154-4720,anthony47@yahoo.com,940,3,503145340,34312,West,10463,Towne Insurance,2023-06-01 19:49:38.000+0000
9583423,2022-06-14,2023-06-14,12,2798722,E-Enable Frictionless Models,102900.00,Worker's Comp,WC,Renewal,Advertising,Services,Agent Email ACORD,93-9343286,Lexington,KY,565-533-7356,brownveronica@yahoo.com,147,2,45857091,49345,Central,47201,Robertson Ryan & Associates,2023-06-01 19:49:38.000+0000
9235302,2022-07-24,2023-07-24,12,3641672,Leverage Back-End Mindshare,88440.00,Commercial Auto,AUTO,Renewal,Restaurants,Services,Agent Portal,90-5977256,Boston,MA,385-054-8909,chavezpatricia@gmail.com,402,2,72102720,25859,Northeast,49514,Premier Group Insurance Inc.,2023-06-01 19:49:38.000+0000
1908016,2022-07-14,2023-07-14,12,2082286,Implement Integrated Partnerships,365040.00,Commercial Auto,AUTO,Renewal,Home Improvement,Construction,Agent Portal,98-4457371,Sioux Falls,SD,219-337-1724,christiancosta@hotmail.com,312,2,123997848,25859,Central,49514,Premier Group Insurance Inc.,2023-06-01 19:49:38.000+0000
9789789,2022-07-21,2023-07-21,12,9006922,Envisioneer Leading-Edge Architectures,112320.00,Worker's Comp,WC,New,Consumer Financial Services,Financial,Agent Email ACORD,90-1450856,Carmel,IN,610-318-7933,owenmariah@yahoo.com,432,2,418487472,65294,Central,98527,ALKEME,2023-06-01 19:49:38.000+0000
4455162,2022-07-04,2023-07-04,12,9612471,Seize Killer Vortals,52000.00,Commercial Auto,AUTO,Renewal,Real Estate Operations,Services,Agent Email Not-ACORD,99-3376187,Charleston,WV,143-900-5940,hallmichaela@hotmail.com,65,1,93875210,16296,Southeast,33375,Lawley LLC,2023-06-01 19:49:38.000+0000
1497421,2022-07-12,2023-07-12,12,2085882,Seize Web-Enabled Relationships,153120.00,Worker's Comp,WC,Renewal,Wholesale,Retail,Agent Email Not-ACORD,98-6730010,Grand Rapids,MI,115-086-1655,zhubbard@smith-taylor.com,464,2,440335072,31793,Central,43449,Sterling Seacrest Pritchard,2023-06-01 19:49:38.000+0000
7151926,2022-07-20,2023-07-20,12,8416537,Deliver Strategic Schemas,60800.00,Commercial Auto,AUTO,New,Consumer Financial Services,Financial,Direct Voice,95-8400330,Sioux Falls,SD,323-875-1157,adrianaweeks@yahoo.com,304,2,294491184,69393,Central,94997,Van Buren Bay Insurance Co.,2023-06-01 19:49:38.000+0000
7992799,2022-07-01,2023-07-01,12,9124340,Reinvent Magnetic E-Markets,315360.00,Worker's Comp,WC,Renewal,Transport & Logistics,Transportation,Agent Email Not-ACORD,95-0445264,Kansas City,MO,622-738-3414,david33@yahoo.com,876,3,254953668,89148,Central,74785,Professional Insurance Associates,2023-06-01 19:49:38.000+0000
5222039,2022-07-28,2023-07-28,12,9900974,Visualize World-Class Communities,4800.00,Commercial Auto,AUTO,New,Advertising,Services,Agent Portal,92-2922886,Savannah,GA,331-253-1902,patrickmercer@smith.biz,48,1,14973744,83896,Southeast,64985,Shepherd Insurance,2023-06-01 19:49:38.000+0000
3443168,2022-07-21,2023-07-21,12,4954479,Embrace Cross-Platform Web-Readiness,219980.00,Worker's Comp,WC,New,Special Transportation Services,Transportation,Agent Email ACORD,93-4371748,North Charleston,SC,409-431-4548,elizabethroy@frederick-wallace.com,647,3,2191570160,25859,Southeast,49514,Premier Group Insurance Inc.,2023-06-01 19:49:38.000+0000
7718693,2022-07-27,2023-07-27,12,2821594,Synergize Value-Added Technologies,178100.00,Commercial Auto,AUTO,Renewal,Environmental Services,Services,Agent Email ACORD,98-4719574,Columbia,SC,287-621-5642,carolyn99@mccullough-morgan.com,274,2,110395422,25859,Southeast,49514,Premier Group Insurance Inc.,2023-06-01 19:49:38.000+0000
6143984,2022-07-29,2023-07-29,12,4845342,Maximize Back-End Portals,152570.00,Worker's Comp,WC,Renewal,Regional Banks,Financial,Direct Portal,92-0873973,Akron,OH,654-555-4936,tsims@miller.com,803,3,418341319,64599,Central,48920,VBBI Online Insurance LLC.,2023-06-01 19:49:38.000+0000
7980409,2022-07-11,2023-07-11,12,7205446,Disintermediate Value-Added E-Business,8640.00,Commercial Auto,AUTO,New,Grocery Stores,Retail,Agent Portal,94-9661897,Minneapolis,MN,843-712-6166,vaughnamber@gonzalez-carrillo.info,36,1,25643232,83896,Central,64985,Shepherd Insurance,2023-06-01 19:49:38.000+0000
3458913,2022-07-09,2023-07-09,12,9229908,Evolve One-To-One Paradigms,45750.00,Worker's Comp,WC,Renewal,Agricultural Production,Consumer Non Cyclical,Agent Email Not-ACORD,93-2120498,Little Rock,AR,167-136-1890,parkerdaniel@gmail.com,75,1,91899600,25859,Central,49514,Premier Group Insurance Inc.,2023-06-01 19:49:38.000+0000
1296140,2022-07-27,2023-07-27,12,1094404,Optimize B2B Networks,512000.00,Commercial Auto,AUTO,Renewal,Real Estate Operations,Services,Direct Portal,91-7638527,Memphis,TN,784-453-5445,beverly71@yahoo.com,640,3,924309760,64599,Central,48920,VBBI Online Insurance LLC.,2023-06-01 19:49:38.000+0000
7489183,2022-07-09,2023-07-09,12,2256901,Productize Holistic Web-Readiness,85120.00,Worker's Comp,WC,Renewal,Regional Banks,Financial,Agent Email ACORD,93-6849658,Coral Springs,FL,002-973-9327,edward28@yahoo.com,448,2,233395904,25859,Southeast,49514,Premier Group Insurance Inc.,2023-06-01 19:49:38.000+0000
1379607,2022-07-04,2023-07-04,12,2218842,Grow Strategic Synergies,23180.00,Worker's Comp,WC,Renewal,Alcoholic Beverages,Consumer Non Cyclical,Direct Voice,99-0913940,Fargo,ND,422-585-4572,brookstaylor@gmail.com,61,1,234214502,69393,Central,94997,Van Buren Bay Insurance Co.,2023-06-01 19:49:38.000+0000
9254483,2022-07-10,2023-07-10,12,5105999,Redefine Distributed Deliverables,406620.00,Commercial Auto,AUTO,Renewal,Transport & Logistics,Transportation,Agent Portal,92-5870759,Kansas City,MO,634-655-2521,carmencastaneda@flores-meyers.com,251,2,73051793,65294,Central,98527,ALKEME,2023-06-01 19:49:38.000+0000
6388993,2022-07-13,2023-07-13,12,8318284,Engage Killer Paradigms,53900.00,Commercial Auto,AUTO,New,Nonalcoholic Beverages,Consumer Non Cyclical,Agent Portal,90-8849552,Chicago,IL,096-536-7894,garrettbaker@gmail.com,539,3,282824080,27719,Central,64916,Houchens Insurance Group Inc.,2023-06-01 19:49:38.000+0000
6233205,2022-07-24,2023-07-24,12,4509493,Deliver Cross-Platform Solutions,79650.00,Commercial Auto,AUTO,Renewal,Special Transportation Services,Transportation,Direct Portal,94-9457414,Charlotte,NC,775-487-4702,rjenkins@hotmail.com,59,1,199849520,64599,Southeast,48920,VBBI Online Insurance LLC.,2023-06-01 19:49:38.000+0000
6209628,2022-07-21,2023-07-21,12,4722986,Envisioneer Back-End Paradigms,20400.00,Commercial Auto,AUTO,Renewal,"Internet, Mail Order & Online Shops",Retail,Agent Email ACORD,95-7150531,Edinburg,TX,122-536-0749,vmorris@yahoo.com,204,2,119172312,83896,Central,64985,Shepherd Insurance,2023-06-01 19:49:38.000+0000
3362061,2022-07-13,2023-07-13,12,7315434,Productize 24/7 Niches,14000.00,Worker's Comp,WC,Renewal,Furniture & Fixtures,Retail,Agent Email Not-ACORD,93-5671208,Lakeland,FL,190-972-4649,zhill@long.com,56,1,18936792,49345,Southeast,47201,Robertson Ryan & Associates,2023-06-01 19:49:38.000+0000
4489544,2022-07-19,2023-07-19,12,3053982,E-Enable World-Class Web-Readiness,45800.00,Commercial Auto,AUTO,Renewal,Investment Services,Financial,Agent Email ACORD,91-9692534,Jackson,MS,243-737-4136,johnrhodes@gray.com,458,2,538975774,49345,Central,47201,Robertson Ryan & Associates,2023-06-01 19:49:38.000+0000
490583,2022-07-29,2023-07-29,12,9755266,Envisioneer Synergistic Interfaces,25600.00,Commercial Auto,AUTO,Renewal,"Internet, Mail Order & Online Shops",Retail,Agent Email ACORD,91-0618270,Charlotte,NC,555-295-0434,omeyer@lyons-gordon.com,256,2,149549568,89148,Southeast,74785,Professional Insurance Associates,2023-06-01 19:49:38.000+0000
